TFLITE  No quantization


STM32F407 TFLiteuC Deep Learning test!<\r><\n>
<\r><\n>
STM32F407 TensorFlow Lite test<\r><\n>
<\r><\n>
Number of input elements: 1<\r><\n>
In: 0.000000 | Out: -0.018659 | 25[uS]<\r><\n>
In: 0.062832 | Out: 0.059348 | 20[uS]<\r><\n>
In: 0.125664 | Out: 0.137359 | 20[uS]<\r><\n>
In: 0.188496 | Out: 0.215371 | 20[uS]<\r><\n>
In: 0.251327 | Out: 0.293383 | 20[uS]<\r><\n>
In: 0.314159 | Out: 0.365307 | 20[uS]<\r><\n>
In: 0.376991 | Out: 0.395463 | 20[uS]<\r><\n>
In: 0.439823 | Out: 0.425618 | 20[uS]<\r><\n>
In: 0.502655 | Out: 0.455774 | 20[uS]<\r><\n>
In: 0.565487 | Out: 0.489600 | 20[uS]<\r><\n>
In: 0.628319 | Out: 0.549354 | 20[uS]<\r><\n>
In: 0.691150 | Out: 0.609109 | 20[uS]<\r><\n>
In: 0.753982 | Out: 0.668864 | 20[uS]<\r><\n>
In: 0.816814 | Out: 0.728618 | 20[uS]<\r><\n>
In: 0.879646 | Out: 0.788373 | 20[uS]<\r><\n>
In: 0.942478 | Out: 0.831551 | 20[uS]<\r><\n>
In: 1.005310 | Out: 0.858795 | 20[uS]<\r><\n>
In: 1.068141 | Out: 0.886039 | 20[uS]<\r><\n>
In: 1.130973 | Out: 0.913283 | 20[uS]<\r><\n>
In: 1.193805 | Out: 0.940527 | 20[uS]<\r><\n>
In: 1.256637 | Out: 0.963164 | 20[uS]<\r><\n>
In: 1.319469 | Out: 0.978428 | 20[uS]<\r><\n>
In: 1.382301 | Out: 0.993692 | 20[uS]<\r><\n>
In: 1.445133 | Out: 1.008956 | 20[uS]<\r><\n>
In: 1.507964 | Out: 1.024220 | 20[uS]<\r><\n>
In: 1.570796 | Out: 1.039484 | 20[uS]<\r><\n>
In: 1.633628 | Out: 1.036231 | 20[uS]<\r><\n>
In: 1.696460 | Out: 1.014802 | 20[uS]<\r><\n>
In: 1.759292 | Out: 0.993373 | 20[uS]<\r><\n>
In: 1.822124 | Out: 0.971944 | 20[uS]<\r><\n>
In: 1.884956 | Out: 0.950514 | 20[uS]<\r><\n>
In: 1.947787 | Out: 0.929085 | 20[uS]<\r><\n>
In: 2.010619 | Out: 0.907656 | 20[uS]<\r><\n>
In: 2.073451 | Out: 0.886227 | 20[uS]<\r><\n>
In: 2.136283 | Out: 0.864575 | 20[uS]<\r><\n>
In: 2.199115 | Out: 0.826940 | 20[uS]<\r><\n>
In: 2.261947 | Out: 0.789303 | 20[uS]<\r><\n>
In: 2.324779 | Out: 0.751667 | 20[uS]<\r><\n>
In: 2.387610 | Out: 0.700337 | 20[uS]<\r><\n>
In: 2.450442 | Out: 0.641881 | 20[uS]<\r><\n>
In: 2.513274 | Out: 0.583425 | 20[uS]<\r><\n>
In: 2.576106 | Out: 0.524969 | 20[uS]<\r><\n>
In: 2.638938 | Out: 0.466514 | 20[uS]<\r><\n>
In: 2.701770 | Out: 0.408057 | 20[uS]<\r><\n>
In: 2.764601 | Out: 0.349601 | 20[uS]<\r><\n>
In: 2.827433 | Out: 0.291145 | 20[uS]<\r><\n>
In: 2.890265 | Out: 0.232689 | 20[uS]<\r><\n>
In: 2.953097 | Out: 0.174233 | 20[uS]<\r><\n>
In: 3.015929 | Out: 0.115777 | 20[uS]<\r><\n>
In: 3.078761 | Out: 0.057321 | 20[uS]<\r><\n>
In: 3.141593 | Out: -0.001135 | 20[uS]<\r><\n>
In: 3.204425 | Out: -0.059591 | 20[uS]<\r><\n>
In: 3.267256 | Out: -0.118047 | 20[uS]<\r><\n>
In: 3.330088 | Out: -0.176503 | 20[uS]<\r><\n>
In: 3.392920 | Out: -0.234959 | 20[uS]<\r><\n>
In: 3.455752 | Out: -0.293415 | 20[uS]<\r><\n>
In: 3.518584 | Out: -0.351871 | 20[uS]<\r><\n>
In: 3.581416 | Out: -0.410327 | 20[uS]<\r><\n>
In: 3.644248 | Out: -0.464680 | 20[uS]<\r><\n>
In: 3.707079 | Out: -0.518193 | 20[uS]<\r><\n>
In: 3.769911 | Out: -0.571706 | 20[uS]<\r><\n>
In: 3.832743 | Out: -0.625218 | 20[uS]<\r><\n>
In: 3.895575 | Out: -0.678731 | 20[uS]<\r><\n>
In: 3.958407 | Out: -0.718591 | 20[uS]<\r><\n>
In: 4.021239 | Out: -0.747865 | 20[uS]<\r><\n>
In: 4.084071 | Out: -0.777137 | 20[uS]<\r><\n>
In: 4.146902 | Out: -0.806410 | 20[uS]<\r><\n>
In: 4.209734 | Out: -0.835683 | 20[uS]<\r><\n>
In: 4.272566 | Out: -0.864956 | 20[uS]<\r><\n>
In: 4.335398 | Out: -0.894229 | 20[uS]<\r><\n>
In: 4.398230 | Out: -0.923502 | 20[uS]<\r><\n>
In: 4.461061 | Out: -0.952775 | 20[uS]<\r><\n>
In: 4.523893 | Out: -0.982047 | 20[uS]<\r><\n>
In: 4.586725 | Out: -1.011320 | 20[uS]<\r><\n>
In: 4.649557 | Out: -1.040593 | 20[uS]<\r><\n>
In: 4.712389 | Out: -1.069866 | 20[uS]<\r><\n>
In: 4.775221 | Out: -1.099139 | 20[uS]<\r><\n>
In: 4.838053 | Out: -1.101199 | 20[uS]<\r><\n>
In: 4.900885 | Out: -1.058775 | 20[uS]<\r><\n>
In: 4.963717 | Out: -1.016351 | 20[uS]<\r><\n>
In: 5.026548 | Out: -0.973926 | 20[uS]<\r><\n>
In: 5.089380 | Out: -0.931502 | 20[uS]<\r><\n>
In: 5.152212 | Out: -0.889078 | 20[uS]<\r><\n>
In: 5.215044 | Out: -0.846653 | 20[uS]<\r><\n>
In: 5.277875 | Out: -0.804229 | 20[uS]<\r><\n>
In: 5.340707 | Out: -0.761805 | 20[uS]<\r><\n>
In: 5.403539 | Out: -0.719381 | 20[uS]<\r><\n>
In: 5.466371 | Out: -0.676956 | 20[uS]<\r><\n>
In: 5.529203 | Out: -0.634532 | 20[uS]<\r><\n>
In: 5.592035 | Out: -0.592108 | 20[uS]<\r><\n>
In: 5.654867 | Out: -0.549684 | 20[uS]<\r><\n>
In: 5.717699 | Out: -0.507259 | 20[uS]<\r><\n>
In: 5.780530 | Out: -0.464835 | 20[uS]<\r><\n>
In: 5.843362 | Out: -0.422411 | 20[uS]<\r><\n>
In: 5.906194 | Out: -0.379986 | 20[uS]<\r><\n>
In: 5.969026 | Out: -0.337562 | 20[uS]<\r><\n>
In: 6.031858 | Out: -0.295138 | 20[uS]<\r><\n>
In: 6.094690 | Out: -0.252713 | 20[uS]<\r><\n>
In: 6.157522 | Out: -0.210289 | 20[uS]<\r><\n>


**********************************************************************

TFLITE  i8 quantization


STM32F407 TFLiteuC Deep Learning test!<\r><\n>
<\r><\n>
STM32F407 TensorFlow Lite test<\r><\n>
<\r><\n>
Number of input elements: 1<\r><\n>
In: 0.000000 | Out: 0.000000 | 37[uS]<\r><\n>
In: 0.062832 | Out: 0.101664 | 37[uS]<\r><\n>
In: 0.125664 | Out: 0.160968 | 37[uS]<\r><\n>
In: 0.188496 | Out: 0.237216 | 37[uS]<\r><\n>
In: 0.251327 | Out: 0.296520 | 37[uS]<\r><\n>
In: 0.314159 | Out: 0.372768 | 37[uS]<\r><\n>
In: 0.376991 | Out: 0.389712 | 37[uS]<\r><\n>
In: 0.439823 | Out: 0.440544 | 37[uS]<\r><\n>
In: 0.502655 | Out: 0.457488 | 37[uS]<\r><\n>
In: 0.565487 | Out: 0.491376 | 37[uS]<\r><\n>
In: 0.628319 | Out: 0.559153 | 37[uS]<\r><\n>
In: 0.691150 | Out: 0.609985 | 37[uS]<\r><\n>
In: 0.753982 | Out: 0.686233 | 37[uS]<\r><\n>
In: 0.816814 | Out: 0.745537 | 37[uS]<\r><\n>
In: 0.879646 | Out: 0.796369 | 37[uS]<\r><\n>
In: 0.942478 | Out: 0.847201 | 37[uS]<\r><\n>
In: 1.005310 | Out: 0.889561 | 37[uS]<\r><\n>
In: 1.068141 | Out: 0.906505 | 37[uS]<\r><\n>
In: 1.130973 | Out: 0.931921 | 37[uS]<\r><\n>
In: 1.193805 | Out: 0.965809 | 37[uS]<\r><\n>
In: 1.256637 | Out: 0.982753 | 37[uS]<\r><\n>
In: 1.319469 | Out: 0.991225 | 37[uS]<\r><\n>
In: 1.382301 | Out: 0.999697 | 37[uS]<\r><\n>
In: 1.445133 | Out: 1.016641 | 37[uS]<\r><\n>
In: 1.507964 | Out: 1.025113 | 37[uS]<\r><\n>
In: 1.570796 | Out: 1.042057 | 37[uS]<\r><\n>
In: 1.633628 | Out: 1.033585 | 37[uS]<\r><\n>
In: 1.696460 | Out: 1.025113 | 37[uS]<\r><\n>
In: 1.759292 | Out: 0.991225 | 37[uS]<\r><\n>
In: 1.822124 | Out: 0.957337 | 37[uS]<\r><\n>
In: 1.884956 | Out: 0.957337 | 37[uS]<\r><\n>
In: 1.947787 | Out: 0.923449 | 37[uS]<\r><\n>
In: 2.010619 | Out: 0.881089 | 37[uS]<\r><\n>
In: 2.073451 | Out: 0.872617 | 37[uS]<\r><\n>
In: 2.136283 | Out: 0.847201 | 37[uS]<\r><\n>
In: 2.199115 | Out: 0.864145 | 37[uS]<\r><\n>
In: 2.261947 | Out: 0.762481 | 37[uS]<\r><\n>
In: 2.324779 | Out: 0.720121 | 37[uS]<\r><\n>
In: 2.387610 | Out: 0.745537 | 37[uS]<\r><\n>
In: 2.450442 | Out: 0.609985 | 37[uS]<\r><\n>
In: 2.513274 | Out: 0.609985 | 37[uS]<\r><\n>
In: 2.576106 | Out: 0.559153 | 37[uS]<\r><\n>
In: 2.638938 | Out: 0.499849 | 37[uS]<\r><\n>
In: 2.701770 | Out: 0.440544 | 37[uS]<\r><\n>
In: 2.764601 | Out: 0.364296 | 37[uS]<\r><\n>
In: 2.827433 | Out: 0.313464 | 37[uS]<\r><\n>
In: 2.890265 | Out: 0.254160 | 37[uS]<\r><\n>
In: 2.953097 | Out: 0.177912 | 37[uS]<\r><\n>
In: 3.015929 | Out: 0.127080 | 37[uS]<\r><\n>
In: 3.078761 | Out: 0.059304 | 37[uS]<\r><\n>
In: 3.141593 | Out: 0.008472 | 37[uS]<\r><\n>
In: 3.204425 | Out: -0.059304 | 37[uS]<\r><\n>
In: 3.267256 | Out: -0.135552 | 37[uS]<\r><\n>
In: 3.330088 | Out: -0.186384 | 37[uS]<\r><\n>
In: 3.392920 | Out: -0.254160 | 37[uS]<\r><\n>
In: 3.455752 | Out: -0.321936 | 37[uS]<\r><\n>
In: 3.518584 | Out: -0.372768 | 37[uS]<\r><\n>
In: 3.581416 | Out: -0.440544 | 37[uS]<\r><\n>
In: 3.644248 | Out: -0.499849 | 37[uS]<\r><\n>
In: 3.707079 | Out: -0.542209 | 37[uS]<\r><\n>
In: 3.769911 | Out: -0.533737 | 37[uS]<\r><\n>
In: 3.832743 | Out: -0.660817 | 37[uS]<\r><\n>
In: 3.895575 | Out: -0.711649 | 37[uS]<\r><\n>
In: 3.958407 | Out: -0.703177 | 37[uS]<\r><\n>
In: 4.021239 | Out: -0.838729 | 37[uS]<\r><\n>
In: 4.084071 | Out: -0.779425 | 37[uS]<\r><\n>
In: 4.146902 | Out: -0.787897 | 37[uS]<\r><\n>
In: 4.209734 | Out: -0.838729 | 37[uS]<\r><\n>
In: 4.272566 | Out: -0.847201 | 37[uS]<\r><\n>
In: 4.335398 | Out: -0.914977 | 37[uS]<\r><\n>
In: 4.398230 | Out: -0.923449 | 37[uS]<\r><\n>
In: 4.461061 | Out: -0.974281 | 37[uS]<\r><\n>
In: 4.523893 | Out: -0.982753 | 37[uS]<\r><\n>
In: 4.586725 | Out: -1.050529 | 37[uS]<\r><\n>
In: 4.649557 | Out: -1.059001 | 37[uS]<\r><\n>
In: 4.712389 | Out: -1.118305 | 37[uS]<\r><\n>
In: 4.775221 | Out: -1.118305 | 37[uS]<\r><\n>
In: 4.838053 | Out: -1.075945 | 37[uS]<\r><\n>
In: 4.900885 | Out: -1.042057 | 37[uS]<\r><\n>
In: 4.963717 | Out: -0.991225 | 37[uS]<\r><\n>
In: 5.026548 | Out: -0.965809 | 37[uS]<\r><\n>
In: 5.089380 | Out: -0.906505 | 37[uS]<\r><\n>
In: 5.152212 | Out: -0.898033 | 37[uS]<\r><\n>
In: 5.215044 | Out: -0.821785 | 37[uS]<\r><\n>
In: 5.277875 | Out: -0.804841 | 37[uS]<\r><\n>
In: 5.340707 | Out: -0.745537 | 37[uS]<\r><\n>
In: 5.403539 | Out: -0.720121 | 37[uS]<\r><\n>
In: 5.466371 | Out: -0.669289 | 37[uS]<\r><\n>
In: 5.529203 | Out: -0.652345 | 37[uS]<\r><\n>
In: 5.592035 | Out: -0.567625 | 37[uS]<\r><\n>
In: 5.654867 | Out: -0.533737 | 37[uS]<\r><\n>
In: 5.717699 | Out: -0.482904 | 37[uS]<\r><\n>
In: 5.780530 | Out: -0.440544 | 37[uS]<\r><\n>
In: 5.843362 | Out: -0.415128 | 37[uS]<\r><\n>
In: 5.906194 | Out: -0.355824 | 37[uS]<\r><\n>
In: 5.969026 | Out: -0.338880 | 37[uS]<\r><\n>
In: 6.031858 | Out: -0.279576 | 37[uS]<\r><\n>
In: 6.094690 | Out: -0.254160 | 37[uS]<\r><\n>
In: 6.157522 | Out: -0.203328 | 37[uS]<\r><\n>


**********************************************************************

CUBEMX i8 quantization


STM32F407 Deep Learning test!<\r><\n>
In: 0.00 | Out: 0.000000 | 19[uS]<\r><\n>
In: 0.06 | Out: 0.101664 | 19[uS]<\r><\n>
In: 0.13 | Out: 0.160968 | 19[uS]<\r><\n>
In: 0.19 | Out: 0.237216 | 19[uS]<\r><\n>
In: 0.25 | Out: 0.296520 | 19[uS]<\r><\n>
In: 0.31 | Out: 0.372768 | 19[uS]<\r><\n>
In: 0.38 | Out: 0.389712 | 19[uS]<\r><\n>
In: 0.44 | Out: 0.440544 | 19[uS]<\r><\n>
In: 0.50 | Out: 0.457488 | 19[uS]<\r><\n>
In: 0.57 | Out: 0.491376 | 19[uS]<\r><\n>
In: 0.63 | Out: 0.550681 | 19[uS]<\r><\n>
In: 0.69 | Out: 0.609985 | 19[uS]<\r><\n>
In: 0.75 | Out: 0.686233 | 19[uS]<\r><\n>
In: 0.82 | Out: 0.745537 | 19[uS]<\r><\n>
In: 0.88 | Out: 0.796369 | 19[uS]<\r><\n>
In: 0.94 | Out: 0.847201 | 19[uS]<\r><\n>
In: 1.01 | Out: 0.881089 | 19[uS]<\r><\n>
In: 1.07 | Out: 0.906505 | 19[uS]<\r><\n>
In: 1.13 | Out: 0.931921 | 19[uS]<\r><\n>
In: 1.19 | Out: 0.965809 | 19[uS]<\r><\n>
In: 1.26 | Out: 0.982753 | 19[uS]<\r><\n>
In: 1.32 | Out: 0.991225 | 19[uS]<\r><\n>
In: 1.38 | Out: 0.999697 | 19[uS]<\r><\n>
In: 1.45 | Out: 1.016641 | 19[uS]<\r><\n>
In: 1.51 | Out: 1.025113 | 19[uS]<\r><\n>
In: 1.57 | Out: 1.042057 | 19[uS]<\r><\n>
In: 1.63 | Out: 1.033585 | 19[uS]<\r><\n>
In: 1.70 | Out: 1.025113 | 19[uS]<\r><\n>
In: 1.76 | Out: 0.991225 | 19[uS]<\r><\n>
In: 1.82 | Out: 0.957337 | 19[uS]<\r><\n>
In: 1.88 | Out: 0.957337 | 19[uS]<\r><\n>
In: 1.95 | Out: 0.923449 | 19[uS]<\r><\n>
In: 2.01 | Out: 0.881089 | 19[uS]<\r><\n>
In: 2.07 | Out: 0.872617 | 19[uS]<\r><\n>
In: 2.14 | Out: 0.847201 | 19[uS]<\r><\n>
In: 2.20 | Out: 0.864145 | 19[uS]<\r><\n>
In: 2.26 | Out: 0.762481 | 19[uS]<\r><\n>
In: 2.32 | Out: 0.720121 | 19[uS]<\r><\n>
In: 2.39 | Out: 0.745537 | 19[uS]<\r><\n>
In: 2.45 | Out: 0.609985 | 19[uS]<\r><\n>
In: 2.51 | Out: 0.609985 | 19[uS]<\r><\n>
In: 2.58 | Out: 0.559153 | 19[uS]<\r><\n>
In: 2.64 | Out: 0.499849 | 19[uS]<\r><\n>
In: 2.70 | Out: 0.440544 | 19[uS]<\r><\n>
In: 2.76 | Out: 0.364296 | 19[uS]<\r><\n>
In: 2.83 | Out: 0.313464 | 19[uS]<\r><\n>
In: 2.89 | Out: 0.254160 | 19[uS]<\r><\n>
In: 2.95 | Out: 0.177912 | 19[uS]<\r><\n>
In: 3.02 | Out: 0.127080 | 19[uS]<\r><\n>
In: 3.08 | Out: 0.059304 | 19[uS]<\r><\n>
In: 3.14 | Out: 0.008472 | 19[uS]<\r><\n>
In: 3.20 | Out: -0.059304 | 19[uS]<\r><\n>
In: 3.27 | Out: -0.135552 | 19[uS]<\r><\n>
In: 3.33 | Out: -0.186384 | 19[uS]<\r><\n>
In: 3.39 | Out: -0.254160 | 19[uS]<\r><\n>
In: 3.46 | Out: -0.313464 | 19[uS]<\r><\n>
In: 3.52 | Out: -0.372768 | 19[uS]<\r><\n>
In: 3.58 | Out: -0.440544 | 19[uS]<\r><\n>
In: 3.64 | Out: -0.499849 | 19[uS]<\r><\n>
In: 3.71 | Out: -0.542209 | 19[uS]<\r><\n>
In: 3.77 | Out: -0.533737 | 19[uS]<\r><\n>
In: 3.83 | Out: -0.660817 | 19[uS]<\r><\n>
In: 3.90 | Out: -0.711649 | 19[uS]<\r><\n>
In: 3.96 | Out: -0.703177 | 19[uS]<\r><\n>
In: 4.02 | Out: -0.830257 | 19[uS]<\r><\n>
In: 4.08 | Out: -0.779425 | 19[uS]<\r><\n>
In: 4.15 | Out: -0.787897 | 19[uS]<\r><\n>
In: 4.21 | Out: -0.838729 | 19[uS]<\r><\n>
In: 4.27 | Out: -0.847201 | 19[uS]<\r><\n>
In: 4.34 | Out: -0.914977 | 19[uS]<\r><\n>
In: 4.40 | Out: -0.923449 | 19[uS]<\r><\n>
In: 4.46 | Out: -0.974281 | 19[uS]<\r><\n>
In: 4.52 | Out: -0.982753 | 19[uS]<\r><\n>
In: 4.59 | Out: -1.050529 | 19[uS]<\r><\n>
In: 4.65 | Out: -1.059001 | 19[uS]<\r><\n>
In: 4.71 | Out: -1.118305 | 19[uS]<\r><\n>
In: 4.78 | Out: -1.118305 | 19[uS]<\r><\n>
In: 4.84 | Out: -1.118305 | 19[uS]<\r><\n>
In: 4.90 | Out: -1.042057 | 19[uS]<\r><\n>
In: 4.96 | Out: -0.991225 | 19[uS]<\r><\n>
In: 5.03 | Out: -0.965809 | 19[uS]<\r><\n>
In: 5.09 | Out: -0.906505 | 19[uS]<\r><\n>
In: 5.15 | Out: -0.898033 | 19[uS]<\r><\n>
In: 5.22 | Out: -0.821785 | 19[uS]<\r><\n>
In: 5.28 | Out: -0.804841 | 19[uS]<\r><\n>
In: 5.34 | Out: -0.754009 | 19[uS]<\r><\n>
In: 5.40 | Out: -0.720121 | 19[uS]<\r><\n>
In: 5.47 | Out: -0.669289 | 19[uS]<\r><\n>
In: 5.53 | Out: -0.652345 | 19[uS]<\r><\n>
In: 5.59 | Out: -0.567625 | 19[uS]<\r><\n>
In: 5.65 | Out: -0.533737 | 19[uS]<\r><\n>
In: 5.72 | Out: -0.482904 | 19[uS]<\r><\n>
In: 5.78 | Out: -0.440544 | 19[uS]<\r><\n>
In: 5.84 | Out: -0.415128 | 19[uS]<\r><\n>
In: 5.91 | Out: -0.355824 | 19[uS]<\r><\n>
In: 5.97 | Out: -0.338880 | 19[uS]<\r><\n>
In: 6.03 | Out: -0.279576 | 19[uS]<\r><\n>
In: 6.09 | Out: -0.254160 | 19[uS]<\r><\n>
In: 6.16 | Out: -0.203328 | 19[uS]<\r><\n>
